order_id,customer_id,product_id,order_date,quantity,unit_price,sales_amount,discount_pct,order_status,currency,region,load_timestamp
SO000000019,CUST0002568,MAT000828,2023-05-27,10.0,301.08,3010.8,20,Completed,USD,South Africa,2026-08-12 06:25:20
SO000000020,CUST0003134,MAT000144,2025-01-24,20.0,578.75,11575.0,0,Completed,USD,Mexico,2026-08-12 08:25:20
SO000000021,CUST0007809,MAT000926,2025-12-16,20.0,622.63,12452.6,0,Cancelled,USD,Saudi Arabia,2026-08-11 14:25:20
SO000000022,CUST0000355,MAT000868,2026-03-10,1.0,35.15,35.15,0,Completed,GBP,Saudi Arabia,2026-08-12 11:25:20
SO000000023,CUST0002340,MAT000989,2023-05-26,3.0,577.58,1732.74,0,Completed,USD,USA,2026-08-11 16:25:20
SO000000024,CUST0006906,MAT000285,2024-04-24,17.0,109.52,1861.84,15,Pending,USD,Brazil,2026-08-11 16:25:20
SO000000025,CUST0002708,MAT000200,2023-10-13,19.0,421.3,8004.7,15,Completed,JPY,China,2026-08-12 14:25:20
SO000000026,CUST0001206,MAT000404,2023-04-04,7.0,655.29,4587.03,0,Completed,EUR,Germany,2026-08-12 11:25:20
SO000000027,CUST0004722,MAT001108,2026-06-18,22.0,634.49,13958.78,0,Completed,EUR,Germany,2026-08-11 22:25:20
SO000000028,CUST0006264,MAT001194,2025-10-15,25.0,273.34,6833.5,15,Completed,GBP,Japan,2026-08-11 16:25:20
SO000000029,CUST0005419,MAT000938,2026-09-20,6.0,248.77,1492.62,5,Completed,USD,China,2026-08-11 12:25:20
SO000000030,CUST0004371,MAT000321,2024-05-18,13.0,399.0,5187.0,0,Completed,GBP,UK,2026-08-12 14:25:20
SO000000031,CUST0004860,MAT000785,2025-04-15,11.0,173.86,1912.46,0,Completed,EUR,Saudi Arabia,2026-08-12 02:25:20
SO000000032,CUST0003087,MAT000694,2025-07-30,9.0,877.36,7896.24,0,Completed,USD,Singapore,2026-08-12 18:25:20
SO000000033,CUST0003131,MAT001082,2023-05-13,10.0,313.7,3137.0,15,Shipped,AED,Australia,2026-08-12 09:25:20
SO000000034,CUST0006632,MAT001160,2026-06-12,21.0,831.08,17452.68,0,Completed,GBP,UK,2026-08-12 17:25:20
SO000000035,CUST0001419,MAT001053,2023-06-12,3.0,817.9,2453.7,0,Completed,USD,France,2026-08-12 11:25:20
SO000000036,CUST0007554,MAT000448,2026-04-13,4.0,331.54,1326.16,0,Pending,EUR,Japan,2026-08-12 15:25:20
SO000000037,CUST0006184,MAT000155,2026-07-20,15.0,232.41,3486.15,10,Completed,INR,USA,2026-08-11 22:25:20
SO000000038,CUST0002766,MAT000003,2025-07-19,25.0,694.9,17372.5,0,Completed,USD,Singapore,2026-08-12 09:25:20
SO000000039,CUST0002318,MAT000490,2023-12-16,15.0,210.29,3154.35,0,Pending,EUR,Brazil,2026-08-12 01:25:20
SO000000040,CUST0007265,MAT000013,2023-10-18,23.0,471.52,10844.96,10,Completed,JPY,France,2026-08-11 18:25:20
SO000000041,CUST0007586,MAT000229,2025-04-18,3.0,104.07,312.21,15,Completed,USD,Australia,2026-08-11 12:25:20
SO000000042,CUST0003347,MAT000367,2024-07-13,2.0,350.41,700.82,10,Shipped,GBP,Singapore,2026-08-12 15:25:20
SO000000043,CUST0007737,MAT000877,2024-04-21,5.0,74.95,374.75,0,Completed,USD,USA,2026-08-11 14:25:20
SO000000044,CUST0006031,MAT000656,2025-09-15,23.0,258.68,5949.64,15,Completed,USD,China,2026-08-12 05:25:20
SO000000045,CUST0007596,MAT000326,2023-12-25,14.0,600.44,8406.16,20,Shipped,EUR,Canada,2026-08-11 20:25:20
SO000000046,CUST0002674,MAT000264,2025-01-07,18.0,892.22,16059.96,0,Completed,USD,India,2026-08-12 11:25:20
SO000000047,CUST0002580,MAT001010,2025-11-24,3.0,233.05,699.15,20,Completed,USD,Saudi Arabia,2026-08-12 10:25:20
SO000000048,CUST0005854,MAT000889,2025-04-20,17.0,428.62,7286.54,0,Pending,USD,Germany,2026-08-12 13:25:20
SO000000049,CUST0005609,MAT000121,2023-07-25,25.0,406.0,10150.0,0,Pending,AED,Australia,2026-08-12 15:25:20
SO000000050,CUST0007700,MAT000694,2025-12-03,25.0,169.82,4245.5,20,Cancelled,EUR,UAE,2026-08-11 21:25:20
SO000000051,CUST0000990,MAT000202,2026-02-02,12.0,551.01,6612.12,10,Completed,USD,USA,2026-08-12 15:25:20
SO000000052,CUST0002337,MAT000787,2023-04-04,5.0,653.61,3268.05,0,Shipped,USD,South Africa,2026-08-12 08:25:20
SO000000053,CUST0005193,MAT000814,2025-11-09,6.0,136.76,820.56,10,Completed,USD,France,2026-08-11 12:25:20
SO000000054,CUST0000395,MAT001102,2026-09-04,5.0,682.63,3413.15,15,Completed,USD,Saudi Arabia,2026-08-12 16:25:20
SO000000055,CUST0003270,MAT001015,2025-02-22,13.0,631.64,8211.32,0,Completed,USD,Japan,2026-08-12 00:25:20
SO000000056,CUST0001476,MAT000949,2025-12-18,21.0,181.62,3814.02,10,Completed,AED,Japan,2026-08-11 18:25:20
SO000000057,CUST0005624,MAT000942,2023-07-03,18.0,585.81,10544.58,0,Pending,USD,Japan,2026-08-12 11:25:20
SO000000058,CUST0002517,MAT001022,2025-06-27,24.0,357.34,8576.16,0,Completed,USD,Australia,2026-08-11 16:25:20
SO000000059,CUST0006250,MAT000524,2025-08-29,8.0,614.62,4916.96,0,Returned,EUR,UK,2026-08-12 02:25:20
SO000000060,CUST0001349,MAT000194,2024-03-17,4.0,449.01,1796.04,15,Completed,USD,Japan,2026-08-12 13:25:20
SO000000061,CUST0002549,MAT000190,2024-09-08,24.0,48.08,1153.92,0,Completed,GBP,France,2026-08-12 06:25:20
SO000000062,CUST0004646,MAT000952,2025-12-26,21.0,709.34,14896.14,10,Completed,GBP,Brazil,2026-08-12 05:25:20
SO000000063,CUST0001811,MAT000616,2026-04-02,25.0,502.26,12556.5,0,Shipped,INR,Brazil,2026-08-12 04:25:20
SO000000064,CUST0003439,MAT001078,2026-06-01,8.0,653.69,5229.52,0,Completed,USD,France,2026-08-12 15:25:20
SO000000065,CUST0005067,MAT000746,2023-07-02,22.0,117.83,2592.26,0,Completed,USD,USA,2026-08-12 04:25:20
SO000000066,CUST0006358,MAT000797,2025-03-10,3.0,650.54,1951.62,5,Completed,GBP,Canada,2026-08-12 06:25:20
SO000000067,CUST0005614,MAT000824,2026-02-13,24.0,375.23,9005.52,0,Pending,USD,Mexico,2026-08-12 01:25:20
SO000000068,CUST0005525,MAT000278,2026-08-05,1.0,720.34,720.34,10,Completed,USD,France,2026-08-11 18:25:20
SO000000069,CUST0004287,MAT000146,2025-11-14,4.0,541.25,2165.0,10,Completed,USD,UK,2026-08-12 11:25:20
SO000000070,CUST0006396,MAT000576,2024-06-05,9.0,322.64,2903.76,0,Completed,USD,Singapore,2026-08-11 13:25:20
SO000000071,CUST0002533,MAT001021,2025-08-02,6.0,185.72,1114.32,0,Shipped,GBP,India,2026-08-11 15:25:20
SO000000072,CUST0001606,MAT000827,2023-11-09,1.0,735.25,735.25,15,Returned,USD,USA,2026-08-11 12:25:20
SO000000073,CUST0005416,MAT000559,2026-04-11,22.0,506.37,11140.14,0,Cancelled,USD,Mexico,2026-08-12 13:25:20
SO000000074,CUST0007080,MAT000397,2023-05-20,20.0,888.78,17775.6,0,Completed,USD,Saudi Arabia,2026-08-12 06:25:20
SO000000075,CUST0003470,MAT001080,2025-02-08,8.0,339.27,2714.16,20,Completed,USD,Japan,2026-08-11 17:25:20
SO000000076,CUST0002974,MAT001137,2026-03-25,7.0,618.72,4331.04,20,Completed,INR,Mexico,2026-08-11 19:25:20
SO000000077,CUST0007559,MAT000105,2024-09-16,16.0,562.42,8998.72,0,Shipped,INR,Mexico,2026-08-12 04:25:20
SO000000078,CUST0000724,MAT000326,2025-05-03,11.0,575.64,6332.04,5,Returned,USD,South Africa,2026-08-11 20:25:20
SO000000079,CUST0002280,MAT000207,2025-05-27,11.0,664.6,7310.6,5,Completed,USD,UAE,2026-08-12 04:25:20
SO000000080,CUST0006333,MAT000230,2023-06-20,4.0,129.5,518.0,0,Completed,USD,Canada,2026-08-12 02:25:20
SO000000081,CUST0005643,MAT000037,2024-11-22,21.0,496.93,10435.53,10,Shipped,USD,UAE,2026-08-12 00:25:20
SO000000082,CUST0003464,MAT001005,2026-07-16,19.0,460.67,8752.73,20,Completed,INR,India,2026-08-12 13:25:20
SO000000083,CUST0002962,MAT000695,2023-10-09,12.0,311.56,3738.72,5,Completed,USD,Mexico,2026-08-11 20:25:20
SO000000084,CUST0007502,MAT000487,2024-01-20,12.0,395.35,4744.2,20,Pending,GBP,Japan,2026-08-11 22:25:20
SO000000085,CUST0002115,MAT001097,2023-04-07,17.0,469.34,7978.78,5,Completed,USD,Saudi Arabia,2026-08-11 21:25:20
SO000000086,CUST0005663,MAT001058,2024-01-27,25.0,292.23,7305.75,0,Pending,USD,UK,2026-08-12 13:25:20
SO000000087,CUST0004856,MAT001016,2026-01-11,12.0,267.38,3208.56,0,Completed,AED,Mexico,2026-08-11 20:25:20
SO000000088,CUST0000028,MAT000133,2024-05-07,8.0,665.75,5326.0,10,Completed,AED,USA,2026-08-12 00:25:20
SO000000089,CUST0000113,MAT000575,2023-01-16,2.0,64.89,129.78,0,Completed,AED,India,2026-08-12 07:25:20
SO000000090,CUST0004540,MAT000634,2026-03-07,22.0,285.1,6272.2,20,Completed,INR,USA,2026-08-11 14:25:20
SO000000091,CUST0002779,MAT000887,2024-11-12,24.0,590.07,14161.68,0,Completed,USD,Japan,2026-08-12 03:25:20
SO000000092,CUST0000306,MAT000096,2026-06-04,11.0,191.85,2110.35,10,Completed,EUR,China,2026-08-11 19:25:20
SO000000093,CUST0004931,MAT001155,2023-01-15,9.0,517.18,4654.62,5,Completed,EUR,Canada,2026-08-11 18:25:20
SO000000094,CUST0004874,MAT001179,2023-08-17,17.0,275.44,4682.48,20,Completed,USD,South Africa,2026-08-12 10:25:20
SO000000095,CUST0004347,MAT001108,2024-01-20,13.0,759.75,9876.75,0,Completed,INR,India,2026-08-12 16:25:20
SO000000096,CUST0003384,MAT000398,2025-03-07,15.0,318.24,4773.6,15,Returned,INR,China,2026-08-11 13:25:20
SO000000097,CUST0005812,MAT000938,2024-10-13,6.0,210.42,1262.52,10,Completed,INR,Brazil,2026-08-11 20:25:20
SO000000098,CUST0002451,MAT000369,2025-02-26,20.0,479.44,9588.8,0,Completed,USD,Japan,2026-08-11 22:25:20
SO000000099,CUST0005031,MAT000947,2026-01-10,18.0,126.42,2275.56,15,Completed,EUR,Canada,2026-08-11 20:25:20
SO000000100,CUST0001133,MAT000529,2024-11-02,6.0,718.75,4312.5,20,Completed,AED,USA,2026-08-12 07:25:20
SO000000101,CUST0000313,MAT001093,2025-08-25,11.0,613.63,6749.93,0,Completed,USD,France,2026-08-12 09:25:20
SO000000102,CUST0006903,MAT001095,2023-06-14,18.0,694.61,12502.98,15,Cancelled,AED,Singapore,2026-08-11 19:25:20
SO000000103,CUST0004397,MAT001092,2025-02-28,15.0,362.0,5430.0,10,Returned,GBP,Singapore,2026-08-12 18:25:20
SO000000104,CUST0000831,MAT000463,2026-03-21,4.0,752.33,3009.32,10,Completed,USD,China,2026-08-11 13:25:20
SO000000105,CUST0002281,MAT000166,2024-09-03,6.0,446.73,2680.38,0,Completed,USD,Brazil,2026-08-11 16:25:20
SO000000106,CUST0005377,MAT001102,2024-09-26,7.0,89.76,628.32,10,Returned,GBP,Japan,2026-08-11 21:25:20
SO000000107,CUST0006261,MAT000154,2024-09-28,1.0,205.51,205.51,0,Completed,USD,Japan,2026-08-12 05:25:20
SO000000108,CUST0005631,MAT000402,2025-01-02,15.0,641.39,9620.85,20,Completed,USD,UK,2026-08-12 03:25:20
SO000000109,CUST0007502,MAT000466,2024-04-21,2.0,807.3,1614.6,10,Shipped,USD,France,2026-08-12 08:25:20
SO000000110,CUST0006362,MAT000608,2024-09-26,13.0,90.19,1172.47,15,Completed,AED,Germany,2026-08-11 12:25:20
SO000000111,CUST0006237,MAT000366,2023-05-09,24.0,778.47,18683.28,0,Pending,EUR,France,2026-08-11 12:25:20
SO000000112,CUST0004926,MAT000793,2026-02-25,14.0,720.17,10082.38,0,Completed,AED,Australia,2026-08-12 12:25:20
SO000000113,CUST0000469,MAT000968,2026-03-05,1.0,324.12,324.12,10,Completed,EUR,Mexico,2026-08-12 00:25:20
SO000000114,CUST0005004,MAT001026,2024-07-25,13.0,621.9,8084.7,5,Completed,USD,Brazil,2026-08-12 00:25:20
SO000000115,CUST0003050,MAT000242,2023-07-09,25.0,172.32,4308.0,0,Completed,AED,India,2026-08-11 19:25:20
SO000000116,CUST0007943,MAT000334,2024-10-14,16.0,732.99,11727.84,15,Completed,USD,Mexico,2026-08-11 22:25:20
SO000000117,CUST0004875,MAT000069,2023-10-19,17.0,593.32,10086.44,0,Completed,GBP,Singapore,2026-08-12 00:25:20
SO000000118,CUST0007979,MAT000704,2025-02-04,1.0,397.75,397.75,0,Pending,GBP,France,2026-08-12 10:25:20
SO000000119,CUST0000604,MAT000706,2025-05-23,25.0,778.74,19468.5,5,Shipped,USD,South Africa,2026-08-12 07:25:20
SO000000120,CUST0005957,MAT000920,2023-11-17,16.0,129.61,2073.76,0,Completed,AED,South Africa,2026-08-11 15:25:20
SO000000121,CUST0001536,MAT000045,2023-12-02,4.0,761.98,3047.92,5,Completed,EUR,Singapore,2026-08-11 13:25:20
SO000000122,CUST0004599,MAT000435,2026-03-01,23.0,26.38,606.74,0,Completed,USD,Canada,2026-08-11 19:25:20
SO000000123,CUST0001859,MAT000980,2025-03-14,23.0,679.11,15619.53,15,Completed,INR,China,2026-08-12 13:25:20
SO000000124,CUST0000040,MAT000444,2023-11-09,24.0,518.16,12435.84,0,Completed,EUR,Singapore,2026-08-11 18:25:20
SO000000125,CUST0001154,MAT000466,2025-08-11,16.0,628.57,10057.12,0,Completed,USD,South Africa,2026-08-12 10:25:20
SO000000126,CUST0007664,MAT000770,2025-03-05,18.0,374.05,6732.9,0,Completed,USD,Canada,2026-08-11 12:25:20
SO000000127,CUST0006246,MAT000602,2025-10-31,10.0,778.67,7786.7,0,Completed,JPY,Brazil,2026-08-12 02:25:20
SO000000128,CUST0007968,MAT001128,2023-03-14,16.0,285.27,4564.32,5,Completed,AED,South Africa,2026-08-12 09:25:20
SO000000129,CUST0003582,MAT000706,2025-12-20,11.0,251.08,2761.88,15,Shipped,USD,India,2026-08-11 16:25:20
SO000000130,CUST0002452,MAT000751,2023-06-29,25.0,275.07,6876.75,15,Completed,USD,China,2026-08-12 00:25:20
SO000000131,CUST0001984,MAT000544,2025-03-01,18.0,698.06,12565.08,15,Completed,EUR,Australia,2026-08-12 01:25:20
SO000000132,CUST0007805,MAT000744,2023-07-06,13.0,448.29,5827.77,0,Completed,EUR,China,2026-08-11 14:25:20
SO000000133,CUST0001703,MAT000669,2023-08-09,3.0,485.69,1457.07,10,Completed,USD,Germany,2026-08-12 10:25:20
SO000000134,CUST0005137,MAT000140,2024-07-14,10.0,749.33,7493.3,10,Cancelled,EUR,China,2026-08-12 09:25:20
SO000000135,CUST0003645,MAT000835,2024-02-08,19.0,750.86,14266.34,5,Shipped,USD,USA,2026-08-12 12:25:20
SO000000136,CUST0000552,MAT001073,2026-01-04,15.0,149.76,2246.4,20,Shipped,JPY,Singapore,2026-08-12 13:25:20
SO000000137,CUST0004074,MAT000997,2026-03-10,14.0,497.04,6958.56,0,Pending,EUR,Japan,2026-08-11 17:25:20
SO000000138,CUST0004276,MAT000783,2025-06-16,22.0,117.79,2591.38,15,Shipped,GBP,UK,2026-08-11 12:25:20
SO000000139,CUST0000076,MAT000677,2023-03-04,22.0,782.33,17211.26,20,Pending,USD,France,2026-08-12 06:25:20
SO000000140,CUST0001438,MAT000296,2023-05-23,13.0,754.12,9803.56,0,Completed,USD,Canada,2026-08-12 01:25:20
SO000000141,CUST0005909,MAT000829,2024-10-13,25.0,765.17,19129.25,0,Completed,USD,Canada,2026-08-12 09:25:20
SO000000142,CUST0007309,MAT000147,2024-04-23,23.0,635.85,14624.55,10,Completed,EUR,Australia,2026-08-11 16:25:20
SO000000143,CUST0003968,MAT000097,2025-12-24,,422.86,10148.64,20,Shipped,EUR,India,2026-08-12 08:25:20
SO000000144,CUST0006454,MAT000222,2026-08-01,9.0,367.23,3305.07,5,Pending,AED,Saudi Arabia,2026-08-11 17:25:20
SO000000145,CUST0000840,MAT001013,2023-01-29,25.0,358.73,8968.25,15,Completed,USD,India,2026-08-12 04:25:20
SO000000146,CUST0000304,MAT000220,2024-11-16,12.0,64.26,771.12,15,Pending,USD,France,2026-08-12 16:25:20
SO000000147,CUST0006046,MAT000274,2024-06-22,13.0,854.24,11105.12,0,Completed,EUR,South Africa,2026-08-11 19:25:20
SO000000148,CUST0004925,MAT000740,2025-09-22,18.0,408.0,7344.0,5,Returned,JPY,Germany,2026-08-11 13:25:20
SO000000149,CUST0002599,MAT000235,2025-02-15,18.0,837.45,15074.1,0,Completed,INR,UK,2026-08-12 13:25:20
SO000000150,CUST0006539,MAT000949,2023-09-12,3.0,791.94,2375.82,0,Shipped,USD,USA,2026-08-12 14:25:20
SO000000151,CUST0000674,MAT000570,2026-05-15,17.0,746.61,12692.37,0,Completed,GBP,Japan,2026-08-12 10:25:20
SO000000152,CUST0003628,MAT000646,2024-11-12,12.0,531.54,6378.48,5,Shipped,USD,Australia,2026-08-11 22:25:20
SO000000153,CUST0001775,MAT000307,2026-02-21,6.0,95.89,575.34,0,Pending,USD,UK,2026-08-11 21:25:20
SO000000154,CUST0005785,MAT000136,2026-01-30,21.0,294.9,6192.9,0,Completed,EUR,Mexico,2026-08-12 10:25:20
SO000000155,CUST0005110,MAT001060,2024-05-24,12.0,545.21,6542.52,10,Completed,USD,France,2026-08-12 06:25:20
SO000000156,CUST0004919,MAT001057,2025-10-15,7.0,17.04,119.28,0,Completed,GBP,South Africa,2026-08-12 08:25:20
SO000000157,CUST0004182,MAT000559,2024-11-16,14.0,43.15,604.1,0,Completed,INR,Germany,2026-08-12 04:25:20
SO000000158,CUST0000437,MAT000295,2024-06-15,10.0,611.51,6115.1,5,Pending,USD,UAE,2026-08-12 00:25:20
SO000000159,CUST0004439,MAT000060,2026-09-01,2.0,799.94,1599.88,5,Completed,AED,Brazil,2026-08-12 09:25:20
SO000000160,CUST0003829,MAT001075,2024-02-11,2.0,770.37,1540.74,20,Completed,INR,India,2026-08-12 09:25:20
SO000000161,CUST0003322,MAT000680,2025-10-25,18.0,155.49,2798.82,10,Completed,USD,France,2026-08-12 10:25:20
SO000000162,CUST0006219,MAT000616,2025-03-07,8.0,820.55,6564.4,0,Completed,USD,France,2026-08-11 17:25:20
SO000000163,CUST0001146,MAT000088,2026-04-01,6.0,628.19,3769.14,5,Completed,USD,Brazil,2026-08-11 16:25:20
SO000000164,CUST0000363,MAT001057,2023-07-08,22.0,646.11,14214.42,0,Completed,USD,Saudi Arabia,2026-08-12 16:25:20
SO000000165,CUST0002796,MAT000198,2023-10-11,21.0,277.12,5819.52,15,Completed,USD,India,2026-08-12 02:25:20
SO000000166,CUST0002285,MAT000066,2024-10-26,10.0,645.82,6458.2,20,Completed,USD,UAE,2026-08-12 13:25:20
SO000000167,CUST0001884,MAT001001,2023-01-17,1.0,640.25,640.25,20,Completed,INR,China,2026-08-12 03:25:20
SO000000168,CUST0003046,MAT000159,2026-06-12,2.0,537.23,1074.46,20,Completed,USD,Mexico,2026-08-12 05:25:20
SO000000169,CUST0000218,MAT000975,2024-05-10,10.0,324.77,3247.7,20,Pending,USD,France,2026-08-12 11:25:20
SO000000170,CUST0001317,MAT000873,2025-08-15,9.0,730.86,6577.74,10,Completed,USD,Australia,2026-08-12 11:25:20
SO000000171,CUST0000636,MAT000127,2024-03-03,0.0,844.08,4220.4,0,Returned,USD,Australia,2026-08-11 17:25:20
SO000000172,CUST0002900,MAT000528,2024-05-12,15.0,783.55,11753.25,15,Completed,INR,Germany,2026-08-12 17:25:20
SO000000173,CUST0006120,MAT000729,2026-01-27,11.0,222.47,2447.17,10,Completed,EUR,South Africa,2026-08-11 19:25:20
SO000000174,CUST0002275,MAT000699,2026-05-18,20.0,403.88,8077.6,5,Completed,USD,Germany,2026-08-12 16:25:20
SO000000175,CUST0007468,MAT000279,2023-06-13,5.0,311.46,1557.3,0,Cancelled,USD,Japan,2026-08-12 02:25:20
SO000000176,CUST0005026,MAT001065,2024-02-05,24.0,638.19,15316.56,10,Completed,USD,China,2026-08-12 01:25:20
SO000000177,CUST0000979,MAT000548,2023-08-16,5.0,749.18,3745.9,20,Shipped,USD,Australia,2026-08-12 05:25:20
SO000000178,CUST0003691,MAT000120,2025-07-25,16.0,198.14,3170.24,20,Completed,EUR,Mexico,2026-08-11 22:25:20
SO000000179,CUST0006695,MAT000382,2024-09-06,9.0,852.81,7675.29,15,Pending,USD,Singapore,2026-08-11 12:25:20
SO000000180,CUST0003842,MAT000668,2026-05-18,15.0,611.21,9168.15,0,Completed,AED,UAE,2026-08-11 17:25:20
SO000000181,CUST0006183,MAT000851,2025-12-14,16.0,200.51,3208.16,0,Completed,USD,France,2026-08-12 13:25:20
SO000000182,CUST0003172,MAT000606,2024-10-11,20.0,337.13,6742.6,15,Pending,INR,Brazil,2026-08-11 12:25:20
SO000000183,CUST0002292,MAT000876,2025-12-18,10.0,98.62,986.2,0,Completed,GBP,Saudi Arabia,2026-08-12 18:25:20
SO000000184,CUST0006557,MAT001173,2023-01-30,7.0,539.38,3775.66,20,Completed,EUR,Japan,2026-08-11 20:25:20
SO000000185,CUST0003902,MAT000277,2025-02-13,7.0,156.43,1095.01,15,Completed,AED,UAE,2026-08-12 17:25:20
SO000000186,CUST0006869,MAT000384,2025-10-02,21.0,625.32,13131.72,0,Completed,USD,UK,2026-08-12 15:25:20
SO000000187,CUST0006111,MAT000014,2023-12-21,8.0,664.84,5318.72,10,Shipped,AED,South Africa,2026-08-11 15:25:20
SO000000188,CUST0004230,MAT001121,2023-03-05,16.0,434.0,6944.0,0,Completed,USD,Mexico,2026-08-11 14:25:20
SO000000189,CUST0006361,MAT000630,2026-03-11,16.0,88.97,1423.52,0,Completed,EUR,UAE,2026-08-12 00:25:20
SO000000190,CUST0005820,MAT000006,2026-07-15,4.0,551.73,2206.92,10,Pending,EUR,Singapore,2026-08-12 10:25:20
SO000000191,CUST0001808,MAT000491,2024-12-08,14.0,338.12,4733.68,0,Completed,USD,USA,2026-08-12 13:25:20
SO000000192,CUST0000600,MAT000159,2023-09-05,17.0,854.93,14533.81,5,Completed,USD,USA,2026-08-12 17:25:20
SO000000193,CUST0004404,MAT000287,2024-01-02,5.0,464.32,2321.6,0,Completed,USD,UK,2026-08-12 17:25:20
SO000000194,CUST0004439,MAT000482,2026-03-25,23.0,69.68,1602.64,0,Completed,GBP,Japan,2026-08-12 00:25:20
SO000000195,CUST0004329,MAT000063,2024-08-19,14.0,574.26,8039.64,5,Completed,USD,Singapore,2026-08-11 15:25:20
SO000000196,CUST0000128,MAT000189,2024-08-08,16.0,702.52,11240.32,20,Completed,USD,China,2026-08-11 16:25:20
SO000000197,CUST0002888,MAT001158,2026-06-11,24.0,148.65,3567.6,0,Shipped,INR,Germany,2026-08-12 00:25:20
SO000000198,CUST0000361,MAT000804,2025-05-07,11.0,406.91,4476.01,0,Shipped,USD,Australia,2026-08-11 19:25:20
SO000000199,CUST0004118,MAT000748,2025-08-04,23.0,670.16,15413.68,5,Shipped,USD,South Africa,2026-08-12 12:25:20
SO000000200,CUST0000993,MAT000870,2023-02-10,8.0,23.34,186.72,20,Returned,USD,Mexico,2026-08-12 09:25:20
SO000000201,CUST0007371,MAT000697,2023-02-01,13.0,30.93,402.09,20,Returned,USD,Mexico,2026-08-12 04:25:20
SO000000202,CUST0006428,MAT000125,2024-12-16,5.0,610.84,3054.2,20,Cancelled,INR,Australia,2026-08-11 12:25:20
SO000000203,CUST0003502,MAT000527,2026-07-25,24.0,653.99,15695.76,0,Completed,USD,Japan,2026-08-12 05:25:20
SO000000204,CUST0003104,MAT000957,2025-03-23,25.0,762.05,19051.25,15,Cancelled,GBP,France,2026-08-12 05:25:20
SO000000205,CUST0005031,MAT000246,2024-07-23,6.0,362.64,2175.84,15,Completed,USD,USA,2026-08-11 13:25:20
SO000000206,CUST0007406,MAT000028,2023-08-13,7.0,353.85,2476.95,20,Cancelled,USD,Germany,2026-08-12 04:25:20
SO000000207,CUST0004183,MAT000556,2025-09-28,24.0,499.37,11984.88,0,Completed,USD,Japan,2026-08-11 17:25:20
SO000000208,CUST0001461,MAT000391,2024-01-05,5.0,682.81,3414.05,0,Pending,INR,Australia,2026-08-12 01:25:20
SO000000209,CUST0005651,MAT000457,2024-04-02,16.0,578.69,9259.04,5,Shipped,INR,Australia,2026-08-11 19:25:20
SO000000210,CUST0001158,MAT000429,2024-04-26,9.0,297.95,2681.55,0,Completed,USD,Canada,2026-08-12 03:25:20
SO000000211,CUST0004046,MAT000830,2025-01-25,15.0,315.16,4727.4,10,Returned,JPY,India,2026-08-12 16:25:20
SO000000212,CUST0000347,MAT000104,2026-08-17,1.0,687.89,687.89,0,Completed,AED,Canada,2026-08-12 02:25:20
