product_id,product_name,category,unit_cost,unit_price,weight_kg,active_flag,created_date
MAT000039,HOME-BTE-39,Home & Garden,311.78,420.92,5.13,Y,2016-05-18
MAT000040,BOOK-BTO-40,Books,36.87,77.49,19.79,Y,2018-09-24
MAT000041,GROC-WPJ-41,Grocery,309.25,724.6,29.63,Y,2018-10-02
MAT000042,APPA-JBW-42,Apparel,231.4,573.79,18.28,Y,2016-05-02
MAT000043,AUTO-AUX-43,Automotive,57.11,142.23,0.96,Y,2018-01-03
MAT000044,FURN-RVS-44,Furniture,275.39,441.13,20.17,Y,2018-06-21
MAT000045,BOOK-KIT-45,Books,279.8,423.09,22.3,Y,2018-10-04
MAT000046,TOYS-FPX-46,Toys,378.27,584.98,15.37,Y,2025-12-06
MAT000047,BEAU-QJC-47,Beauty,134.85,305.67,29.01,Y,2020-02-25
MAT000048,GROC-JWN-48,Grocery,435.73,619.2,2.99,Y,2018-05-01
MAT000049,BOOK-QGR-49,Books,60.57,85.36,21.35,Y,2017-03-09
MAT000050,TOYS-CPJ-50,Toys,485.49,808.05,38.34,N,2025-12-13
MAT000051,SPOR-FSD-51,Sports,20.06,48.24,7.29,Y,2021-02-05
MAT000052,FURN-PTZ-52,Furniture,456.33,580.95,37.93,Y,2021-09-04
MAT000053,APPA-LOQ-53,Apparel,101.2,161.27,19.66,Y,2015-12-12
MAT000054,HOME-MUN-54,Home & Garden,190.98,394.91,38.99,Y,2017-02-24
MAT000055,BEAU-IGO-55,Beauty,303.61,649.1,3.57,Y,2017-09-18
MAT000056,AUTO-QNI-56,Automotive,314.28,562.56,35.44,Y,2025-11-06
MAT000057,BEAU-PBB-57,Beauty,194.72,405.66,9.16,Y,2024-06-09
MAT000058,HOME-OUZ-58,Home & Garden,130.43,220.29,12.2,Y,2015-07-01
MAT000059,AUTO-RZV-59,Automotive,127.69,161.47,33.48,Y,2015-07-04
MAT000060,SPOR-LAO-60,Sports,33.09,77.88,5.06,Y,2019-09-19
MAT000061,SPOR-LRR-61,Sports,33.57,64.85,20.12,Y,2022-05-28
MAT000062,SPOR-ZXT-62,Sports,246.13,479.18,11.52,Y,2024-06-16
MAT000063,BOOK-ARG-63,Books,331.81,614.88,13.42,Y,2015-04-19
MAT000064,ELEC-CSO-64,Electronics,413.42,887.21,15.77,Y,2019-09-26
MAT000065,TOYS-WHE-65,Toys,423.96,1015.95,21.5,Y,2021-05-27
MAT000066,AUTO-RAZ-66,Automotive,108.26,258.8,7.62,Y,2015-11-22
MAT000067,TOYS-XLD-67,Toys,25.16,40.9,29.09,Y,2024-07-13
MAT000068,ELEC-QJZ-68,Electronics,461.71,936.57,38.08,Y,2018-07-29
MAT000069,BEAU-NML-69,Beauty,47.09,60.23,24.19,Y,2016-03-21
MAT000070,BOOK-FLR-70,Books,483.09,895.43,2.11,Y,2017-02-13
MAT000071,ELEC-ARK-71,Electronics,111.39,169.12,13.55,Y,2025-04-27
MAT000072,BEAU-QRN-72,Beauty,22.76,54.09,20.65,Y,2018-01-07
MAT000073,ELEC-REA-73,Electronics,335.79,432.27,2.21,Y,2025-09-10
MAT000074,SPOR-LFU-74,Sports,293.65,691.1,21.16,Y,2019-03-14
MAT000075,BOOK-WJY-75,Books,439.03,989.7,3.08,Y,2023-01-05
MAT000076,SPOR-DNO-76,Sports,101.78,209.16,17.77,N,2023-01-28
MAT000077,ELEC-SLJ-77,Electronics,146.06,254.76,17.84,N,2026-03-27
MAT000078,AUTO-NRI-78,Automotive,455.37,607.69,11.23,N,2025-08-10
MAT000079,APPA-FBE-79,Apparel,269.24,567.5,25.24,Y,2024-02-02
MAT000080,BEAU-IGH-80,Beauty,470.88,1052.08,22.31,Y,2022-10-31
MAT000081,HOME-PQZ-81,Home & Garden,108.13,193.13,27.75,Y,2025-03-17
MAT000082,ELEC-HDS-82,Electronics,419.14,1025.91,24.24,Y,2022-05-18
MAT000083,TOYS-FFB-83,Toys,263.93,322.79,2.93,Y,2022-07-06
MAT000084,APPA-WNP-84,Apparel,78.9,100.3,16.06,Y,2019-06-09
MAT000085,BOOK-QWJ-85,Books,169.1,343.03,21.45,Y,2022-04-22
MAT000086,FURN-HEN-86,Furniture,298.39,541.15,11.15,Y,2019-04-14
MAT000087,GROC-WQH-87,Grocery,476.46,625.27,37.56,Y,2025-04-28
MAT000088,AUTO-SCA-88,Automotive,156.31,291.75,4.4,Y,2023-06-19
MAT000089,AUTO-SLY-89,Automotive,36.39,63.99,29.68,Y,2016-02-27
MAT000090,BEAU-OZW-90,Beauty,135.41,261.48,11.18,Y,2018-06-25
MAT000091,AUTO-CGR-91,Automotive,194.92,463.59,34.24,Y,2021-01-31
MAT000092,AUTO-GPZ-92,Automotive,258.49,390.2,7.77,Y,2025-10-06
MAT000093,TOYS-SNP-93,Toys,477.09,698.24,32.34,Y,2024-05-16
MAT000094,APPA-KTS-94,Apparel,185.12,459.35,14.76,Y,2025-10-11
MAT000095,AUTO-JZI-95,,176.41,357.88,38.46,Y,2021-07-27
MAT000096,GROC-CQQ-96,Grocery,488.13,1034.53,30.2,Y,2016-07-05
MAT000097,AUTO-VTQ-97,Automotive,282.14,615.77,34.4,Y,2022-03-16
MAT000098,GROC-RDK-98,Grocery,243.56,488.54,21.52,Y,2025-12-28
MAT000099,BEAU-BXZ-99,Beauty,281.67,663.91,14.26,Y,2021-10-09
MAT000100,SPOR-QNZ-100,Sports,104.88,188.07,8.36,Y,2022-03-14
MAT000101,SPOR-OVQ-101,Sports,249.7,592.93,24.72,Y,2017-01-11
MAT000102,GROC-ANL-102,Grocery,427.86,605.87,36.04,Y,2020-06-03
MAT000103,SPOR-PHE-103,Sports,301.29,373.99,25.34,Y,2020-11-13
MAT000104,SPOR-PEE-104,Sports,475.75,619.86,23.32,Y,2026-07-31
MAT000105,ELEC-ZEJ-105,Electronics,457.82,555.15,25.25,Y,2016-09-27
MAT000106,APPA-TZV-106,Apparel,237.98,392.93,25.12,Y,2019-08-29
MAT000107,SPOR-CUP-107,Sports,27.3,59.49,0.23,Y,2024-03-26
MAT000108,GROC-DSE-108,Grocery,154.16,285.99,15.11,Y,2020-10-01
MAT000109,ELEC-DTB-109,Electronics,154.43,352.11,37.4,Y,2025-11-13
MAT000110,TOYS-GHF-110,Toys,436.98,821.16,35.37,Y,2024-04-23
MAT000111,ELEC-EZX-111,Electronics,460.51,797.61,11.37,Y,2019-09-01
MAT000112,GROC-SKB-112,Grocery,50.03,91.2,37.85,Y,2019-01-08
MAT000113,FURN-URM-113,Furniture,280.89,580.83,4.56,Y,2022-06-02
MAT000114,HOME-CSW-114,Home & Garden,72.62,130.99,38.05,Y,2020-02-09
MAT000115,SPOR-WCD-115,Sports,181.03,423.74,4.86,Y,2023-07-21
MAT000116,BOOK-JGT-116,Books,308.89,611.85,34.4,Y,2023-02-27
MAT000117,HOME-KQT-117,Home & Garden,2.66,3.85,8.83,Y,2020-07-06
MAT000118,SPOR-HMW-118,Sports,475.03,664.95,1.53,Y,2022-03-02
MAT000119,SPOR-UXB-119,Sports,267.7,505.18,33.77,Y,2016-09-21
MAT000120,APPA-ZPA-120,Apparel,474.48,901.56,37.2,Y,2018-01-12
MAT000121,AUTO-JQF-121,Automotive,362.85,560.21,37.14,Y,2026-01-11
MAT000122,ELEC-TKU-122,Electronics,334.05,580.69,27.23,N,2020-01-22
MAT000123,GROC-IYK-123,Grocery,201.26,271.39,28.77,Y,2016-06-02
MAT000124,BOOK-UOW-124,Books,412.22,885.22,9.2,Y,2024-11-03
MAT000125,BEAU-NKO-125,Beauty,478.36,589.74,13.34,Y,2022-09-29
MAT000126,SPOR-MYV-126,Sports,130.79,165.13,16.26,Y,2015-01-28
MAT000127,AUTO-QTD-127,Automotive,311.93,732.2,39.59,Y,2015-01-08
MAT000128,FURN-RAG-128,Furniture,404.24,731.39,28.96,Y,2023-04-22
MAT000129,ELEC-CUA-129,Electronics,421.97,761.61,31.41,Y,2023-10-14
MAT000130,SPOR-UNT-130,Sports,241.84,411.72,21.07,Y,2015-11-15
MAT000131,TOYS-IYW-131,Toys,338.25,725.53,14.3,Y,2017-12-26
MAT000132,HOME-FHB-132,Home & Garden,286.09,681.7,39.05,Y,2016-05-16
MAT000133,TOYS-GBC-133,Toys,114.4,165.96,27.08,Y,2024-08-20
MAT000134,FURN-MVT-134,Furniture,207.93,256.06,13.91,Y,2020-06-06
MAT000135,SPOR-PTU-135,Sports,403.57,902.65,19.81,Y,2021-10-03
MAT000136,HOME-VZE-136,Home & Garden,236.82,462.59,8.81,Y,2017-12-30
MAT000137,HOME-FOR-137,Home & Garden,263.5,319.98,19.05,Y,2017-09-15
MAT000138,BEAU-AUQ-138,Beauty,168.69,350.42,25.55,Y,2021-09-06
MAT000139,HOME-DTE-139,Home & Garden,191.04,231.05,10.13,Y,2015-07-03
MAT000140,HOME-GDS-140,Home & Garden,317.04,410.28,4.35,Y,2017-03-01
MAT000141,GROC-DNP-141,Grocery,323.87,706.85,12.9,Y,2018-08-12
MAT000142,BEAU-RIQ-142,Beauty,245.35,596.06,37.82,Y,2017-02-24
MAT000143,GROC-ITP-143,Grocery,154.44,347.95,23.78,N,2017-08-12
MAT000144,AUTO-ZEH-144,Automotive,487.77,888.18,31.0,Y,2021-03-01
MAT000145,TOYS-TUH-145,Toys,384.3,709.67,31.84,Y,2025-03-10
MAT000146,AUTO-PJJ-146,Automotive,131.26,178.37,17.04,Y,2015-01-29
MAT000147,BOOK-EQB-147,Books,471.87,873.42,25.43,Y,2020-07-08
MAT000148,GROC-JDY-148,Grocery,312.46,428.8,15.64,Y,2022-07-02
MAT000149,TOYS-MSK-149,Toys,353.76,871.52,6.76,Y,2019-06-09
MAT000150,TOYS-EDI-150,Toys,205.81,272.41,9.73,Y,2025-07-22
MAT000151,AUTO-WFS-151,Automotive,189.0,359.64,9.26,Y,2021-09-29
MAT000152,GROC-YEH-152,Grocery,114.55,253.29,38.51,Y,2018-08-03
MAT000153,HOME-EEN-153,Home & Garden,162.48,340.3,10.36,Y,2016-11-08
MAT000154,GROC-NYE-154,Grocery,464.05,962.8,32.12,Y,2022-07-30
MAT000155,FURN-ZKM-155,Furniture,25.63,50.7,21.13,Y,2021-07-14
MAT000156,ELEC-WRZ-156,Electronics,147.21,226.87,23.22,Y,2018-11-08
MAT000157,BEAU-IEP-157,Beauty,353.54,439.49,22.72,Y,2023-04-17
MAT000158,TOYS-LAR-158,Toys,86.06,118.98,24.94,Y,2019-12-12
MAT000159,FURN-SXS-159,Furniture,156.12,276.82,14.43,Y,2021-04-09
MAT000160,TOYS-XSP-160,Toys,324.52,587.76,38.54,Y,2025-04-18
MAT000161,BEAU-CYW-161,Beauty,176.84,382.39,10.33,Y,2020-04-03
MAT000162,GROC-SLQ-162,Grocery,254.87,488.93,13.2,Y,2016-10-14
MAT000163,FURN-AGA-163,Furniture,236.42,369.54,0.29,Y,2021-01-04
MAT000164,SPOR-OJI-164,Sports,108.61,229.18,30.85,Y,2019-02-25
MAT000165,SPOR-VMF-165,Sports,140.82,243.68,1.54,Y,2019-04-15
MAT000166,ELEC-AAK-166,Electronics,119.29,263.99,24.26,Y,2024-10-09
MAT000167,FURN-VNH-167,Furniture,103.68,159.12,32.68,Y,2021-05-24
MAT000168,AUTO-STE-168,Automotive,105.33,172.15,26.59,Y,2021-01-11
MAT000169,BOOK-GJQ-169,Books,281.0,505.56,35.99,Y,2015-12-05
MAT000170,BOOK-QJD-170,Books,110.64,239.41,6.4,Y,2025-04-10
MAT000171,ELEC-TID-171,Electronics,308.25,718.78,18.34,Y,2020-12-04
MAT000172,APPA-UTB-172,Apparel,362.42,821.43,5.48,Y,2023-04-03
MAT000173,SPOR-TEH-173,Sports,353.21,846.22,23.08,Y,2024-06-25
MAT000174,TOYS-LXN-174,Toys,93.88,128.15,10.43,Y,2020-12-13
MAT000175,ELEC-TOH-175,Electronics,52.65,98.32,2.83,Y,2019-06-30
MAT000176,TOYS-VEH-176,Toys,112.48,199.3,18.98,Y,2019-06-15
MAT000177,HOME-AIW-177,Home & Garden,283.13,599.47,1.94,Y,2018-02-22
MAT000178,TOYS-QHF-178,Toys,41.23,52.74,16.95,Y,2019-08-29
MAT000179,AUTO-BDV-179,Automotive,21.88,47.48,8.96,Y,2017-09-08
MAT000180,ELEC-PIV-180,Electronics,469.67,860.59,17.88,Y,2020-07-20
MAT000181,ELEC-QXJ-181,Electronics,390.49,830.61,24.31,Y,2016-10-01
MAT000182,HOME-EJT-182,Home & Garden,467.64,817.87,32.35,Y,2021-03-08
MAT000183,FURN-LLM-183,Furniture,190.67,436.61,10.42,Y,2023-07-21
MAT000184,BEAU-HNQ-184,Beauty,145.34,302.49,8.55,Y,2015-10-31
MAT000185,AUTO-ZTL-185,Automotive,115.35,184.2,27.17,Y,2015-11-22
MAT000186,APPA-TCH-186,Apparel,444.8,923.82,33.12,Y,2021-07-03
MAT000187,BOOK-UJP-187,Books,272.24,351.08,4.06,Y,2017-11-21
MAT000188,APPA-CNH-188,Apparel,277.64,451.48,8.86,Y,2015-06-11
MAT000189,ELEC-HPV-189,Electronics,233.66,482.85,15.43,Y,2016-05-20
MAT000190,AUTO-EFB-190,Automotive,401.47,867.21,29.41,Y,2021-07-31
MAT000191,FURN-EAO-191,Furniture,492.61,246.305,25.81,Y,2024-04-16
MAT000192,BEAU-BGD-192,Beauty,427.88,835.81,31.59,Y,2015-11-25
MAT000193,BEAU-RFA-193,Beauty,207.81,408.9,2.27,Y,2015-03-18
MAT000194,GROC-CSN-194,Grocery,492.9,1104.11,34.76,Y,2015-11-15
MAT000195,TOYS-KUL-195,Toys,347.45,500.98,1.29,Y,2017-08-06
MAT000196,BEAU-DNI-196,Beauty,432.46,741.77,10.59,Y,2024-01-16
MAT000197,ELEC-ODS-197,Electronics,281.27,491.43,26.08,N,2025-08-20
MAT000198,ELEC-RBU-198,Electronics,242.41,510.61,34.14,Y,2017-07-29
MAT000199,APPA-ZDC-199,Apparel,98.58,160.51,17.5,Y,2018-11-27
MAT000200,AUTO-VGT-200,Automotive,481.07,805.76,15.27,Y,2020-11-26
MAT000201,APPA-ACW-201,Apparel,327.08,570.74,38.05,N,2015-03-27
MAT000202,BEAU-YWE-202,Beauty,447.34,835.38,25.81,Y,2019-10-31
MAT000203,APPA-WAF-203,Apparel,29.96,63.05,28.3,Y,2019-03-12
MAT000204,HOME-ADT-204,Home & Garden,180.24,267.76,36.61,Y,2021-11-13
MAT000205,SPOR-VTH-205,Sports,213.93,438.52,1.38,Y,2026-08-10
MAT000206,TOYS-SAP-206,Toys,207.62,469.73,15.53,Y,2017-11-17
MAT000207,SPOR-TFG-207,Sports,301.98,444.76,16.69,Y,2015-05-03
MAT000208,FURN-TPG-208,Furniture,463.89,898.27,36.08,Y,2017-03-16
MAT000209,BEAU-UAP-209,Beauty,451.11,1095.02,35.82,Y,2017-07-25
MAT000210,HOME-VWL-210,Home & Garden,2.64,6.37,5.54,Y,2018-01-16
MAT000211,HOME-NLX-211,Home & Garden,20.92,26.61,13.99,Y,2022-07-10
MAT000212,FURN-WGD-212,Furniture,310.78,535.48,1.07,Y,2019-04-20
MAT000213,BEAU-SVD-213,Beauty,238.76,423.74,30.29,Y,2018-11-24
MAT000214,AUTO-GYL-214,Automotive,140.53,208.38,10.27,Y,2023-10-31
MAT000215,TOYS-XOW-215,Toys,152.57,301.92,18.89,Y,2016-07-28
MAT000216,HOME-OSS-216,Home & Garden,169.11,285.22,14.87,Y,2021-01-29
MAT000217,GROC-ALM-217,Grocery,486.23,730.75,32.73,Y,2020-03-28
MAT000218,TOYS-LNA-218,Toys,354.4,427.85,39.73,Y,2018-01-08
MAT000219,BEAU-YNU-219,Beauty,378.46,789.92,16.24,Y,2016-11-12
MAT000220,GROC-ETZ-220,Grocery,278.05,425.21,1.47,Y,2019-01-01
MAT000221,ELEC-ORU-221,Electronics,418.17,989.15,6.54,Y,2023-09-09
MAT000222,HOME-ALZ-222,Home & Garden,393.74,851.86,7.18,Y,2022-04-19
MAT000223,APPA-RJV-223,Apparel,211.49,370.02,30.41,Y,2024-05-21
MAT000224,FURN-LCC-224,Furniture,418.99,554.41,22.54,N,2021-01-27
MAT000225,ELEC-RQT-225,Electronics,381.11,846.84,5.96,Y,2025-09-16
MAT000226,TOYS-XFK-226,Toys,263.23,609.33,12.77,Y,2024-05-12
MAT000227,GROC-XFV-227,Grocery,213.13,478.62,3.62,Y,2022-10-09
MAT000228,ELEC-KSQ-228,Electronics,429.89,689.76,0.11,Y,2015-03-12
MAT000229,SPOR-JNA-229,Sports,117.85,155.13,3.74,Y,2016-02-03
MAT000230,FURN-BFK-230,Furniture,346.73,512.53,37.39,Y,2023-02-02
MAT000231,ELEC-RPN-231,Electronics,258.71,465.19,17.4,Y,2023-04-26
MAT000232,TOYS-YIC-232,Toys,346.6,619.7,5.19,Y,2021-06-16
MAT000233,APPA-VGK-233,Apparel,440.21,773.41,3.01,Y,2023-05-04
MAT000234,ELEC-SPT-234,Electronics,265.15,541.32,11.06,Y,2015-12-13
MAT000235,AUTO-KPT-235,Automotive,400.37,829.05,26.03,Y,2021-12-18
MAT000236,FURN-WFM-236,Furniture,210.99,517.03,11.0,Y,2015-04-28
MAT000237,GROC-DYL-237,Grocery,289.28,463.36,29.8,Y,2017-02-05
MAT000238,APPA-TLI-238,Apparel,24.85,31.3,32.44,Y,2015-11-29
MAT000239,BEAU-EMQ-239,Beauty,217.7,357.8,24.32,Y,2017-05-11
MAT000240,SPOR-VJY-240,Sports,351.25,513.37,7.46,Y,2018-12-23
MAT000241,FURN-ISG-241,Furniture,479.12,942.22,15.64,Y,2015-10-21
MAT000242,GROC-YBL-242,Grocery,400.92,754.81,9.7,Y,2024-08-18
MAT000243,AUTO-WWM-243,Automotive,104.16,178.73,34.4,Y,2019-07-25
MAT000244,SPOR-YXG-244,Sports,31.66,46.99,35.73,Y,2026-01-28
MAT000245,BEAU-FYM-245,Beauty,61.75,124.64,8.58,Y,2018-10-31
MAT000246,ELEC-LBV-246,Electronics,303.33,515.07,4.11,Y,2026-01-18
MAT000247,BOOK-CAA-247,Books,291.66,608.97,27.23,Y,2015-02-15
MAT000248,BOOK-DGX-248,Books,318.88,590.02,20.8,Y,2024-01-31
MAT000249,ELEC-PPO-249,Electronics,318.18,667.33,26.21,Y,2022-12-06
MAT000250,APPA-XKO-250,Apparel,293.89,412.21,8.46,Y,2023-11-21
MAT000251,BEAU-IXB-251,Beauty,130.85,313.46,30.39,Y,2021-06-24
MAT000252,TOYS-SLQ-252,Toys,276.88,422.98,4.48,Y,2018-10-15
MAT000253,AUTO-RWD-253,Automotive,449.48,1060.98,4.47,Y,2022-08-21
MAT000254,BEAU-UUY-254,Beauty,398.81,710.14,12.99,Y,2023-07-23
MAT000255,ELEC-TEQ-255,Electronics,369.81,739.11,31.21,Y,2024-03-31
MAT000256,SPOR-SPX-256,Sports,38.09,61.48,12.81,Y,2022-02-10
MAT000257,TOYS-OVX-257,Toys,165.55,306.8,11.36,Y,2019-11-15
MAT000258,GROC-RLH-258,Grocery,222.75,373.8,29.43,Y,2016-06-03
MAT000259,BOOK-BGH-259,Books,302.15,619.32,8.46,Y,2016-11-21
MAT000260,BEAU-HFS-260,Beauty,163.43,200.61,4.38,Y,2024-11-23
MAT000261,GROC-JQA-261,Grocery,133.26,171.25,24.13,N,2016-05-22
MAT000262,BOOK-IIU-262,Books,499.07,664.29,32.86,Y,2021-11-11
MAT000263,AUTO-KFN-263,Automotive,60.29,124.85,25.74,Y,2020-09-19
MAT000264,HOME-SAE-264,Home & Garden,451.46,608.63,12.65,N,2018-09-21
MAT000265,AUTO-NUE-265,Automotive,46.3,80.08,36.47,Y,2023-12-17
MAT000266,APPA-IUX-266,Apparel,390.98,836.61,21.34,Y,2024-07-25
MAT000267,AUTO-KAN-267,Automotive,441.86,788.4,6.03,Y,2015-12-29
MAT000268,APPA-AYL-268,Apparel,418.96,655.06,2.19,Y,2024-12-30
MAT000269,BOOK-RSD-269,Books,63.89,127.25,24.3,Y,2024-06-15
MAT000270,SPOR-OTF-270,Sports,130.83,280.67,30.96,Y,2020-08-14
MAT000271,ELEC-QHH-271,Electronics,460.33,902.44,31.19,Y,2020-03-20
MAT000272,FURN-OFW-272,Furniture,376.8,578.45,12.44,Y,2020-09-09
MAT000273,TOYS-ZZP-273,Toys,239.76,293.65,11.93,Y,2017-09-08
MAT000274,BEAU-HNZ-274,Beauty,237.47,318.33,5.09,Y,2024-01-27
MAT000275,SPOR-ZEO-275,Sports,232.16,499.2,33.36,Y,2016-09-20
MAT000276,SPOR-RFM-276,Sports,273.61,497.2,15.4,Y,2017-05-05
MAT000277,FURN-BHN-277,Furniture,97.28,135.27,31.69,Y,2024-07-12
MAT000278,ELEC-BBS-278,Electronics,233.04,519.08,28.18,Y,2020-01-25
MAT000279,GROC-YHI-279,Grocery,97.75,182.15,17.79,Y,2018-05-05
MAT000280,FURN-ZTJ-280,Furniture,212.51,404.9,39.28,Y,2026-05-24
MAT000281,GROC-FMN-281,Grocery,406.64,965.7,-1.0,Y,2026-01-08
MAT000282,BEAU-DJL-282,Beauty,71.03,93.06,10.57,Y,2019-12-27
MAT000283,BOOK-VBF-283,Books,221.5,450.68,20.06,Y,2016-05-02
MAT000284,ELEC-LLL-284,Electronics,451.69,1093.91,6.58,Y,2015-01-05
MAT000285,ELEC-UET-285,Electronics,426.6,779.07,18.16,Y,2023-08-10
MAT000286,ELEC-QKL-286,Electronics,392.68,518.76,35.31,Y,2023-09-23
MAT000287,APPA-GZM-287,Apparel,335.76,784.95,39.78,Y,2022-12-28
MAT000288,APPA-VTD-288,Apparel,259.48,342.84,6.7,Y,2024-04-28
MAT000289,APPA-QNU-289,Apparel,162.49,216.86,32.62,Y,2018-07-04
MAT000290,BEAU-QKO-290,Beauty,149.14,368.17,28.12,Y,2018-08-19
MAT000291,AUTO-RTM-291,Automotive,87.54,159.22,18.7,Y,2023-09-04
MAT000292,APPA-GXA-292,Apparel,246.76,467.96,1.3,Y,2020-09-19
MAT000293,APPA-PHX-293,Apparel,343.46,629.68,31.65,Y,2018-06-24
MAT000294,SPOR-KNF-294,Sports,407.86,611.67,1.98,Y,2022-05-27
MAT000295,FURN-RLD-295,Furniture,351.91,869.6,17.89,Y,2025-08-17
MAT000296,AUTO-MIA-296,Automotive,130.55,183.25,11.53,Y,2025-07-26
MAT000297,APPA-HCF-297,Apparel,164.63,288.27,26.23,Y,2015-02-23
MAT000298,HOME-NUK-298,Home & Garden,137.31,173.87,14.96,Y,2024-09-05
MAT000299,SPOR-EFR-299,Sports,427.96,790.81,38.59,Y,2023-09-18
MAT000300,HOME-LTI-300,Home & Garden,252.31,393.27,7.77,Y,2015-04-24
MAT000301,GROC-UPZ-301,Grocery,347.57,659.44,24.18,Y,2020-07-14
MAT000302,FURN-LQI-302,Furniture,377.81,809.9,1.78,Y,2021-09-10
MAT000303,HOME-EBP-303,Home & Garden,401.48,759.81,15.7,Y,2022-06-10
MAT000304,BEAU-XMK-304,Beauty,269.22,537.41,6.02,Y,2019-07-04
MAT000305,FURN-RTW-305,Furniture,209.29,342.45,14.05,Y,2025-07-04
MAT000306,TOYS-UWE-306,Toys,46.58,65.58,6.52,Y,2021-02-10
MAT000307,GROC-NIS-307,Grocery,187.24,442.42,8.28,Y,2025-02-09
MAT000308,APPA-WJR-308,,208.68,334.95,31.51,Y,2020-12-23
MAT000309,GROC-AVQ-309,Grocery,26.01,37.86,8.47,Y,2020-05-20
MAT000310,BOOK-IHW-310,Books,496.49,964.19,5.6,Y,2016-05-12
MAT000311,HOME-PZG-311,Home & Garden,136.83,194.05,5.03,Y,2015-03-02
MAT000312,BEAU-SNK-312,Beauty,398.79,735.56,25.27,Y,2016-01-19
MAT000313,BOOK-SKX-313,Books,166.29,319.24,10.34,Y,2018-11-27
MAT000314,AUTO-ELM-314,Automotive,154.71,316.83,6.06,Y,2024-12-27
MAT000315,BOOK-LMY-315,Books,308.99,713.12,4.86,Y,2024-02-14
MAT000316,APPA-VKB-316,Apparel,448.83,584.95,13.99,Y,2023-06-25
MAT000317,AUTO-VGN-317,Automotive,305.64,589.04,3.9,Y,2016-05-31
MAT000318,BEAU-AQF-318,Beauty,399.66,985.2,7.29,Y,2017-08-19
MAT000319,TOYS-LWS-319,Toys,447.67,861.25,37.44,Y,2021-12-20
